screening_mode,policy,weighted_dest_aoi,weighted_dest_aoi_se,corr_w_c,weight_ratio,alignment,L,mu,lambda_link,nu_edge,kkt_regime,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,lambda_hat_min,lambda_hat_max,lambda_hat_sum,qd_iso2_relaxed_sum,qd_iso2_lambda_sum,N,weight_seed,channel_seed,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,gap_vs_iso_pct,gap_vs_iso_lambda_pct
full,iso1 + iso2,57.982591143819754,0.6690742624077693,-0.848861535912691,10.0,aligned,5,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9738518518518519,0.026148148148148146,0.16666666666666666,0.11744444444444445,0.049555555555555554,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.12000000000002514,0.11999999999998948,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.14443151034817525
full,iso1 + iso2-lambda,58.066457405255846,0.6988537776864786,-0.848861535912691,10.0,aligned,5,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9730740740740741,0.026925925925925926,0.16666666666666666,0.11737037037037039,0.04966666666666667,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.12000000000002514,0.11999999999998948,8,7,11,10000,1000,3,20000,2000,3,0.14464041668658112,0.0
full,Greedy,70.31524632589382,0.8536674682504674,-0.848861535912691,10.0,aligned,5,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9914074074074074,0.008592592592592593,0.16492592592592595,0.11955555555555554,0.04596296296296296,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.12000000000002514,0.11999999999998948,8,7,11,10000,1000,3,20000,2000,3,21.269582712307923,21.0944312224036
full,Uniform,78.82784246170786,1.7114175258253255,-0.848861535912691,10.0,aligned,5,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9635555555555556,0.036444444444444446,0.16662962962962963,0.11625925925925924,0.050555555555555555,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.12000000000002514,0.11999999999998948,8,7,11,10000,1000,3,20000,2000,3,35.9508792323262,35.754523324119326
full,Joint FGMW,41.78350461593063,0.4208454328277745,-0.848861535912691,10.0,aligned,5,0.18,180.27823008113774,0.0,link-only,1.0,0.8294814814814814,0.1705185185185185,0.1620740740740741,0.1512962962962963,0.011185185185185185,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.17999999999998573,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-2.427382304725345,-2.543168129499307
full,iso1 + iso2,42.82298210592557,0.5246203383531407,-0.848861535912691,10.0,aligned,5,0.18,180.27823008113774,0.0,link-only,1.0,0.8505925925925926,0.1494074074074074,0.16666666666666666,0.153,0.013962962962962963,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.17999999999998573,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.118666309779214
full,iso1 + iso2-lambda,42.87385893218033,0.5943632413092045,-0.848861535912691,10.0,aligned,5,0.18,180.27823008113774,0.0,link-only,1.0,0.8478888888888889,0.1521111111111111,0.16666666666666666,0.15274074074074076,0.014222222222222225,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.17999999999998573,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.11880729401076984,0.0
full,Greedy,45.88741688246794,0.3867300950761139,-0.848861535912691,10.0,aligned,5,0.18,180.27823008113774,0.0,link-only,1.0,0.8897407407407408,0.11025925925925927,0.16492592592592595,0.15974074074074074,0.005666666666666667,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.17999999999998573,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,7.156051787711282,7.028893655349711
full,Uniform,61.39193615241754,0.8787286201335959,-0.848861535912691,10.0,aligned,5,0.18,180.27823008113774,0.0,link-only,1.0,0.8317777777777778,0.16822222222222225,0.16662962962962963,0.15033333333333335,0.01651851851851852,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.17999999999998573,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,43.36212270448705,43.19200016385247
full,Joint FGMW,35.54456019313125,0.12344864574026136,-0.848861535912691,10.0,aligned,5,0.25,182.87946149724303,0.0,link-only,1.0,0.6487037037037037,0.3512962962962963,0.1635925925925926,0.16207407407407406,0.0017407407407407406,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.2499999999999695,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-2.2338506545430015,-2.2378391843630108
full,iso1 + iso2,36.356714907052776,0.4231856940205456,-0.848861535912691,10.0,aligned,5,0.25,182.87946149724303,0.0,link-only,1.0,0.6638888888888889,0.3361111111111111,0.16666666666666666,0.165037037037037,0.0017037037037037038,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.2499999999999695,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.004079663407752232
full,iso1 + iso2-lambda,36.35819819916043,0.43605388334389444,-0.848861535912691,10.0,aligned,5,0.25,182.87946149724303,0.0,link-only,1.0,0.663,0.337,0.16666666666666666,0.1648888888888889,0.0018518518518518517,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.2499999999999695,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.004079829851089123,0.0
full,Greedy,36.324290646540454,0.5385983214063953,-0.848861535912691,10.0,aligned,5,0.25,182.87946149724303,0.0,link-only,1.0,0.6614814814814816,0.3385185185185186,0.16492592592592595,0.16496296296296298,0.0001111111111111111,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.2499999999999695,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-0.08918369163775086,-0.09325971665107291
full,Uniform,55.768192027725824,0.8453500439191394,-0.848861535912691,10.0,aligned,5,0.25,182.87946149724303,0.0,link-only,1.0,0.6484444444444444,0.35155555555555557,0.16662962962962963,0.16251851851851853,0.004222222222222222,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.2499999999999695,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,53.39172466571629,53.385466799654566
full,Joint FGMW,32.75962329635874,0.2324091207924998,-0.848861535912691,10.0,aligned,5,0.4,184.5017914029886,0.0,link-only,1.0,0.40622222222222226,0.5937777777777778,0.1607037037037037,0.16074074074074074,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.400000000000009,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-0.9469112256080381,-0.9488945571900498
full,iso1 + iso2,33.072793288630926,0.22173352941959165,-0.848861535912691,10.0,aligned,5,0.4,184.5017914029886,0.0,link-only,1.0,0.41392592592592586,0.5860740740740741,0.16666666666666666,0.16666666666666666,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.400000000000009,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.0,-0.0020022915050432744
full,iso1 + iso2-lambda,33.07345551562114,0.22160581693156736,-0.848861535912691,10.0,aligned,5,0.4,184.5017914029886,0.0,link-only,1.0,0.41392592592592586,0.5860740740740741,0.16666666666666666,0.16666666666666666,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.400000000000009,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.002002331597572571,0.0
full,Greedy,32.804839495303206,0.36751283342598934,-0.848861535912691,10.0,aligned,5,0.4,184.5017914029886,0.0,link-only,1.0,0.4148148148148148,0.5851851851851851,0.16492592592592595,0.16496296296296295,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.400000000000009,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-0.8101940195654134,-0.8121800886244368
full,Uniform,52.78331065237534,0.7449765360289826,-0.848861535912691,10.0,aligned,5,0.4,184.5017914029886,0.0,link-only,1.0,0.42151851851851846,0.5784814814814815,0.16662962962962963,0.16637037037037036,0.0002962962962962963,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.400000000000009,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,59.59737719075602,59.594181586030246
full,Joint FGMW,31.13525584740577,0.08673683070559164,-0.848861535912691,10.0,aligned,5,0.7,185.12078571255552,0.0,link-only,1.0,0.23125925925925928,0.7687407407407408,0.16251851851851853,0.16248148148148148,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.6999999999999942,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-1.9596558277500509,-1.9596558277500509
full,iso1 + iso2,31.75759541674326,0.20685622255475536,-0.848861535912691,10.0,aligned,5,0.7,185.12078571255552,0.0,link-only,1.0,0.23551851851851854,0.7644814814814817,0.16666666666666666,0.16662962962962966,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.6999999999999942,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,iso1 + iso2-lambda,31.75759541674326,0.20685622255475536,-0.848861535912691,10.0,aligned,5,0.7,185.12078571255552,0.0,link-only,1.0,0.23551851851851854,0.7644814814814817,0.16666666666666666,0.16662962962962966,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.6999999999999942,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,Greedy,31.527508783616167,0.289111190690743,-0.848861535912691,10.0,aligned,5,0.7,185.12078571255552,0.0,link-only,1.0,0.23811111111111113,0.761888888888889,0.16492592592592595,0.16492592592592595,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.6999999999999942,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,-0.724508987874406,-0.724508987874406
full,Uniform,51.50464291893675,0.7344660994399467,-0.848861535912691,10.0,aligned,5,0.7,185.12078571255552,0.0,link-only,1.0,0.24074074074074073,0.7592592592592592,0.16662962962962963,0.1665925925925926,0.0,0.004148148148148147,0.03522222222222222,0.16622222222222222,0.6999999999999942,0.16622222222222222,8,7,11,10000,1000,3,20000,2000,3,62.18055001665033,62.18055001665033
full,Joint FGMW,79.11439618454055,1.5111229897296858,0.18992742789705458,10.0,neutral,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9997407407407408,0.00025925925925925926,0.22999999999999998,0.08040740740740741,0.14996296296296296,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.02229804500439858,0.02229804500439858
full,iso1 + iso2,79.09675915358747,1.35759476104218,0.18992742789705458,10.0,neutral,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9990740740740741,0.0009259259259259259,0.2174074074074074,0.08022222222222221,0.13755555555555557,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,iso1 + iso2-lambda,79.09675915358747,1.35759476104218,0.18992742789705458,10.0,neutral,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9990740740740741,0.0009259259259259259,0.2174074074074074,0.08022222222222221,0.13755555555555557,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,0.0,0.0
full,Greedy,91.19977337609312,1.7465884350694965,0.18992742789705458,10.0,neutral,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9985925925925926,0.0014074074074074073,0.1782962962962963,0.08011111111111112,0.09859259259259258,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,15.301529862942198,15.301529862942198
full,Uniform,138.03968269215775,6.283257198356531,0.18992742789705458,10.0,neutral,3,0.08,0.0,4351.343841584399,edge-only,1.0,0.9995555555555556,0.0004444444444444444,0.24981481481481482,0.0802962962962963,0.1697777777777778,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.08000000000000665,0.08000000000000665,8,7,11,10000,1000,3,20000,2000,3,74.52002353739533,74.52002353739533
full,Joint FGMW,56.240521156205546,0.9135690543700024,0.18992742789705458,10.0,neutral,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.992962962962963,0.007037037037037036,0.23059259259259257,0.11977777777777777,0.11111111111111112,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.12000000000002514,0.11999999999998805,8,7,11,10000,1000,3,20000,2000,3,1.1862589650075694,1.5771341320597543
full,iso1 + iso2,55.58118437371496,0.8847295339696674,0.18992742789705458,10.0,neutral,3,0.12,0.0,1937.1787481578067,edge-only,1.0,0.9908888888888888,0.009111111111111111,0.2174074074074074,0.11962962962962964,0.09822222222222221,0.01474074074074074,0.05003703703703704,0.21646296296296297,0.12000000000002514,0.11999999999998805,8,7,11,10000,1000,3,20000,2000,3,0.0,0.3862927348537992
