mode,network,policy,L,mu,N,w,p,corr_w_c,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,lambda_hat_sum,qd_iso2_lambda_sum,lambda_link,nu_edge,weighted_dest_aoi,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,weighted_dest_aoi_se,final_upstream_debt,avg_upstream_debt,final_downstream_debt,avg_downstream_debt,gap_vs_iso_lambda_pct
full,det_aligned,Joint FGMW,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,54.12376866319445,1.0,0.6898333333333334,0.31016666666666665,0.17637037037037037,0.17224074074074072,0.004092592592592592,0.40202369313111924,,,,,-1.610975978324214
full,det_aligned,iso1 + iso2-lambda,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,55.00996600115741,1.0,0.7000925925925925,0.29990740740740734,0.1782962962962963,0.17377777777777778,0.004555555555555556,0.5149108618920651,,,,,0.0
full,det_aligned,Downstream-Aware MW,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,53.888773726851845,1.0,0.6861481481481482,0.3138518518518518,0.1741851851851852,0.1710925925925926,0.0030925925925925925,0.5244190762716646,33.36962775002524,22.47084290266953,70.35299506197605,42.31118969197079,-2.0381620928141886
full,det_aligned,Greedy,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,83.24173365162038,1.0,0.5505,0.4495,0.13683333333333333,0.13683333333333333,0.0,0.7372427562329779,,,,,51.32118723699806
full,det_aligned,SRP-iso,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,76.70331293402778,1.0,0.6812222222222223,0.31877777777777777,0.17385185185185184,0.16857407407407407,0.005277777777777778,0.3995412573179887,,,,,39.43530329106901
full,det_aligned,SRP-tandem-LB,5,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,229.79747758473968,0.0,76.05653023726853,1.0,0.6751666666666667,0.32483333333333336,0.17381481481481484,0.16853703703703704,0.005277777777777778,0.5278136951829216,,,,,38.25954779842675
full,det_aligned,Joint FGMW,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,47.183161024305555,1.0,0.4412222222222222,0.5587777777777778,0.17607407407407408,0.17600000000000002,5.5555555555555565e-05,0.24793112355288643,,,,,-1.5685252605888267
full,det_aligned,iso1 + iso2-lambda,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,47.93503414351852,1.0,0.44781481481481483,0.5521851851851852,0.1782962962962963,0.17827777777777776,5.5555555555555565e-05,0.15263902479203492,,,,,0.0
full,det_aligned,Downstream-Aware MW,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,47.08162384259259,1.0,0.43207407407407405,0.567925925925926,0.1737962962962963,0.1737777777777778,3.7037037037037037e-05,0.25125146560028566,31.607795385972903,17.411697277847704,31.234966149207366,17.658459471869012,-1.7803477481017294
full,det_aligned,Greedy,5,0.4,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.17885925925925927,0.17885925925925927,235.47100196674,0.0,76.6024552951389,1.0,0.3438333333333334,0.6561666666666667,0.13683333333333333,0.13683333333333333,0.0,0.6905288532073789,,,,,59.804737106871556
